MRTime,Longitude,Latitude,RNCID_1,CellID_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,SignalLevel_7,RSSI_7,邻接基站个数,id_combine
1.51e+12,121.2135629,31.29179758,6188,26051,4,-59,6188,27394,3,-93,6188.0,27377.0,4.0,-77.0,6188.0,27378.0,4.0,-89.0,6182.0,41139.0,3.0,-97.0,6188.0,27393.0,3.0,-95.0,6182.0,44754.0,3.0,-95.0,7,32239
1.51e+12,121.2135629,31.29179758,6188,26051,4,-59,6188,27394,3,-91,6188.0,27377.0,4.0,-75.0,6188.0,27378.0,4.0,-89.0,6182.0,41139.0,3.0,-97.0,6188.0,27393.0,3.0,-95.0,6188.0,27379.0,3.0,-95.0,7,32239
1.51e+12,121.2136022,31.29184981,6188,26051,4,-57,6188,27394,4,-89,6188.0,27377.0,4.0,-71.0,6188.0,27378.0,3.0,-91.0,6182.0,41139.0,2.0,-99.0,6188.0,27393.0,3.0,-95.0,6188.0,26049.0,3.0,-97.0,7,32239
1.51e+12,121.2136307,31.29183454,6188,26051,4,-51,6188,27394,4,-85,6188.0,27377.0,4.0,-71.0,6188.0,27393.0,3.0,-91.0,0.0,-1.0,3.0,-95.0,6188.0,27379.0,3.0,-97.0,,,,,6,32239
1.51e+12,121.2135942,31.29185586,6188,26051,4,-51,6188,27394,4,-75,6188.0,27377.0,4.0,-71.0,6188.0,27393.0,4.0,-83.0,0.0,-1.0,3.0,-91.0,6188.0,26049.0,4.0,-89.0,,,,,6,32239
1.51e+12,121.2135968,31.29185364,6188,26051,4,-51,6188,27394,4,-73,6188.0,27377.0,4.0,-69.0,6188.0,27393.0,4.0,-79.0,0.0,-1.0,4.0,-87.0,6182.0,41155.0,4.0,-87.0,,,,,6,32239
1.51e+12,121.2135968,31.29185364,6188,26051,4,-51,6188,27394,4,-69,6188.0,27377.0,4.0,-67.0,6188.0,27393.0,4.0,-75.0,0.0,-1.0,4.0,-83.0,6182.0,41155.0,4.0,-83.0,,,,,6,32239
1.51e+12,121.2135272,31.29179135,6188,26051,4,-51,6188,27394,4,-69,6188.0,27377.0,4.0,-69.0,6188.0,27393.0,4.0,-73.0,0.0,-1.0,4.0,-83.0,6182.0,41155.0,4.0,-81.0,,,,,6,32239
1.51e+12,121.2135818,31.29175559,6188,26051,4,-57,6188,27394,4,-67,6188.0,27377.0,4.0,-67.0,6188.0,27393.0,4.0,-73.0,6182.0,41155.0,4.0,-81.0,6182.0,41139.0,4.0,-83.0,,,,,6,32239
1.51e+12,121.2135635,31.29176761,6188,26051,4,-59,6188,27394,4,-69,6188.0,27377.0,4.0,-65.0,6188.0,27393.0,4.0,-73.0,6182.0,41155.0,4.0,-81.0,6188.0,26049.0,4.0,-83.0,,,,,6,32239
1.51e+12,121.2136505,31.29180104,6188,26051,4,-51,6188,27394,4,-69,6188.0,27377.0,4.0,-65.0,6188.0,27393.0,4.0,-71.0,6182.0,41155.0,4.0,-81.0,6188.0,26049.0,4.0,-79.0,6182.0,44754.0,4.0,-83.0,7,32239
1.51e+12,121.2136922,31.29183562,6188,26051,4,-59,6188,27394,4,-69,6188.0,27377.0,4.0,-61.0,6188.0,27393.0,4.0,-75.0,6182.0,41155.0,4.0,-83.0,6188.0,26049.0,4.0,-79.0,6182.0,44754.0,4.0,-85.0,7,32239
